country,total_population_in_thousands_2015,gross_national_income_per_capita_2013,life_expectancy_at_birth_female,life_expectancy_at_birth_male,life_expectancy_at_age_60_female,life_expectancy_at_age_60_male,physicians_density_per_1000,number_neonatal_deaths_in_thousands_2014,measles_immunization_oneyearolds,dpt2_vaccination_oneyearolds,fines_for_tobacco_advertising_2014,mortality_rate_cancer_2012,cigarette_price_2014,continent,ecological_footprint_2000,ecological_footprint_2012,cell_phone_subscriptions_per_100_people_2012
Botswana,2262.5,15500,67.7,62.5,18.3,15.9,NA,1,97,95,Yes,86.5,NA,Africa,1.68,NA,150.09
Brazil,207848,14750,78.5,71.2,23.2,19.6,NA,30,99,93,Yes,118.5,2.62,South America,2.6,2.9,125.19
Brunei Darussalam,423.2,NA,79.1,76.2,22.2,20.3,NA,0,97,99,Yes,86.4,NA,Asia,NA,NA,113.77
Bulgaria,7149.8,15200,77.8,70.9,21.5,17.2,3.999,0,93,88,Yes,132.3,3.12,Europe,3.81,NA,145.73
Burkina Faso,18105.6,1560,60.1,58.5,15.8,14.7,NA,18,88,91,Yes,91.7,NA,Africa,0.9,NA,57.07
Burundi,11178.9,820,61.1,57.1,17.1,15.7,NA,13,94,95,No,134.1,1.14,Africa,0.75,NA,25.68
Cabo Verde,520.5,6220,74.7,71,19.8,17.4,NA,0,93,95,Yes,63.1,NA,Africa,NA,NA,84.16
Cambodia,15577.9,2890,70.2,66.1,17.8,16.4,NA,6,80,88,No,100.6,0.36,Asia,0.83,NA,131.96
Cameroon,23344.2,2660,58.3,55,17,15.7,NA,21,80,87,Yes,73.4,1.29,Africa,0.89,NA,64.04
Canada,35939.9,42610,84,80,26.3,23.3,NA,1,90,91,Yes,119,7.79,North America,7.66,NA,75.74
Central African Republic,4900.3,600,52.5,49.1,16.6,15,NA,7,49,47,No,81.5,NA,Africa,1.12,NA,23.39
Chad,14037.5,2000,54,51.3,16.3,15.2,NA,24,54,46,Yes,88,NA,Africa,0.75,NA,35.49
Chile,17948.1,21030,83.2,77.2,26.1,22.1,NA,1,97,95,Yes,115.3,3.82,South America,3.39,3.2,138.5
China,1400000,11850,77.4,74.4,20.8,18.5,NA,100,99,99,Yes,143.4,1.48,Asia,1.84,NA,81.26
Colombia,48228.7,11890,78.2,71,23,20,NA,7,91,90,Yes,91.1,1.32,South America,1.9,1.8,103.19
Comoros,788.5,1560,64.9,61.6,17.1,15.4,NA,1,80,80,Yes,100.7,1.45,Africa,NA,NA,32.33
Congo,4620.3,4720,65.6,62.7,18.5,17.2,NA,3,80,90,Yes,70.5,NA,Africa,NA,NA,101.18
Cook Islands,20.8,NA,NA,NA,NA,NA,NA,0,98,99,Yes,NA,NA,Oceania,NA,NA,NA
Costa Rica,4807.9,13570,82,77,25.4,22.6,NA,0,95,91,Yes,110.7,2.8,North America,2.77,2.5,128.32
Croatia,4240.3,20370,81,74.4,23.4,18.8,3.126,0,94,95,Yes,158.6,4.15,Europe,2.35,NA,113.31
Cuba,11389.6,NA,81.2,76.8,24.2,21.2,7.519,0,99,99,No,133.1,NA,North America,2.1,1.9,14.95
Cyprus,1165.3,28830,82.5,78.2,24,20.6,2.496,0,86,99,Yes,93.3,5.39,Europe,NA,NA,98.39
Czechia,10543.2,25530,81.5,75.6,23.7,19.6,NA,0,99,99,Yes,142.2,3.73,Europe,6.3,NA,122.79
Democratic People's Republic of Korea,25155.3,NA,73.8,66.7,19.5,13.8,NA,5,99,93,No,147.2,NA,Asia,NA,NA,NA
Democratic Republic of the Congo,77266.8,680,60.9,57.7,17.3,16.2,NA,94,77,80,Yes,108.1,NA,Africa,1.15,NA,28.01
Denmark,5669.1,44460,82.3,78.4,24.5,21.6,NA,0,90,94,Yes,155.7,7.38,Europe,9.88,NA,117.96
Djibouti,887.9,NA,64.7,61.3,18.2,16.9,0.229,1,71,78,Yes,83.1,NA,Africa,NA,NA,22.65
Dominica,72.7,9800,NA,NA,NA,NA,NA,0,94,97,No,NA,NA,North America,1.37,NA,161.53
Dominican Republic,10528.4,11150,76.8,70.7,23.4,20.5,NA,5,88,91,No,95.6,3.61,North America,NA,1.4,88.75
Ecuador,16144.4,10310,78.8,73.2,23.8,21.4,NA,4,85,83,Yes,107.9,3.56,South America,2.26,2.4,110.71
Egypt,91508.1,10850,73,68.6,18.4,16.2,0.814,36,93,94,Yes,119.7,1.3,Africa,1.7,NA,115.29
El Salvador,6126.6,7490,77.7,68.5,23,20.3,NA,1,95,94,Yes,110.1,NA,North America,1.55,2,138.07
Equatorial Guinea,845.1,23240,59.6,56.4,17.4,16.2,NA,1,44,20,No,73.4,NA,Africa,NA,NA,67.67
Eritrea,5227.8,1180,66.6,62.1,17.1,13.8,NA,3,90,94,Yes,88.4,NA,Africa,NA,NA,5.47
Estonia,1312.6,24230,81.8,72.3,24.4,18.3,3.316,0,93,93,Yes,142.4,4.08,Europe,7.12,NA,154.55
Ethiopia,99390.8,1350,66.1,62.3,18.4,16.9,NA,89,70,77,Yes,86.1,0.79,Africa,0.85,NA,23.72
Fiji,892.1,7610,72.9,66.9,18.9,15.4,NA,0,94,99,Yes,97.9,4.21,Oceania,NA,NA,98.06
Finland,5503.5,38480,83.7,78,25.8,21.9,NA,0,97,98,Yes,102.2,7.26,Europe,8.45,NA,172.51
France,64395.3,37580,85.2,79.1,27.6,23.3,3.215,2,91,98,Yes,132.2,9.18,Europe,7.27,4.9,98.14
Gabon,1725.3,17220,66.6,64.4,18.8,17.5,NA,1,61,70,Yes,54,NA,Africa,2.06,NA,187.36
Gambia,1990.9,1620,62.1,59.5,15.9,14.7,NA,2,96,96,Yes,64.8,0.97,Africa,0.99,NA,83.64
Georgia,3999.8,7040,78.4,70.5,21.6,17.1,4.776,0,92,91,No,100,1.37,Europe,NA,NA,109.16
Germany,80688.5,44540,83.2,78.5,25.3,21.7,4.125,2,97,96,Yes,122,7.2,Europe,6.31,4.6,131.3
Ghana,27409.9,3880,63.6,60.7,16.3,15.4,NA,26,92,98,Yes,79.3,0.87,Africa,1.12,NA,100.28
Greece,10954.6,25630,83.5,78.1,25.6,22,6.255,0,97,99,Yes,116,5.17,Europe,5.58,NA,116.94
Grenada,106.8,11120,75.9,71.1,20.1,17.7,NA,0,94,97,No,NA,NA,North America,NA,NA,121.55
Guatemala,16342.9,7130,75,68.3,22,20,NA,6,67,73,No,109.4,2.22,North America,1.4,1.8,137.32
Guinea,12608.6,1160,58.9,57.4,16.9,16.3,NA,14,52,51,Yes,93,NA,Africa,0.85,NA,45.62
Guinea-Bissau,1844.3,1240,59.9,56.8,15.5,14.5,NA,3,69,80,No,87.4,NA,Africa,0.8,NA,69.45
Guyana,767.1,6550,68.4,63.8,16.7,15.5,NA,0,99,98,No,153.4,NA,South America,NA,2.1,72.21
Haiti,10711.1,1710,65.2,61,18.3,16.8,NA,7,53,48,No,103,NA,North America,0.78,NA,59.43
Honduras,8075.1,4270,76.9,72.2,23.5,20.8,NA,2,88,85,Yes,104.7,1.63,North America,1.43,1.7,93.15
Hungary,9855,NA,79,72.1,22.2,17.6,3.316,0,99,99,Yes,184,4.27,Europe,5.01,NA,116.38
Iceland,329.4,38870,84,81,25.5,23.6,3.645,0,90,90,Yes,118,10.59,Europe,6.02,NA,105.39
India,1300000,5350,69.5,66.6,18.6,17.1,0.725,722,85,85,Yes,71.9,1.81,Asia,1.06,0.9,68.72
Indonesia,257564,9260,71,66.9,17.8,15.3,NA,76,77,81,No,110.5,1.69,Asia,1.48,1.1,115.2
Iran (Islamic Republic of),79109.3,15600,76.5,74.4,19.8,19.2,1.491,13,99,99,Yes,97.1,1.09,Asia,2.47,NA,76.92
Iraq,36423.4,15220,71.1,64.9,19.5,16.9,0.854,23,57,64,Yes,108.4,NA,Asia,1.73,1.4,79.39
Ireland,4688.5,NA,83.3,79.1,25.4,22.4,2.777,0,93,96,Yes,125.2,12.84,Europe,9.43,NA,107.13
Israel,8064,32140,84,80.2,26,23.4,3.619,0,96,94,Yes,110.3,8.04,Asia,5.4,4,119.89
Italy,59797.7,34100,84.6,80.2,26.5,23.1,3.945,1,87,95,Yes,116.1,6.24,Europe,5.51,NA,159.48
Ivory Coast,22701.6,2900,53.7,51.9,14.7,14.1,NA,31,62,76,No,111.3,NA,Africa,0.95,NA,96.27
Jamaica,2793.3,8480,78.4,73.3,23.5,21.1,NA,0,92,92,Yes,122.8,7.1,North America,2.68,1.7,96.54
Japan,126574,37630,86.7,80.3,28.6,23.2,NA,1,98,96,No,104.3,4.3,Asia,5.94,4.2,109.43
Jordan,7594.5,11660,75.7,72.4,20.3,17.9,2.65,2,98,98,Yes,112.1,NA,Asia,1.71,2.1,139.13
Kazakhstan,17625.2,20570,74.5,65.3,19.5,14.7,3.274,3,99,95,Yes,157.2,1.17,Asia,4.45,NA,175.39
Kenya,46050.3,2250,65.3,60.6,17.5,16.1,NA,34,79,92,Yes,140.9,1.04,Africa,1.15,NA,71.89
Kiribati,112.4,2780,68.6,63.4,17.8,15.5,NA,0,88,75,Yes,NA,NA,Oceania,NA,NA,15.59
Kuwait,3892.1,NA,75.8,73.6,18.3,17.5,1.949,0,94,95,Yes,76.1,NA,Asia,10.31,NA,191.11
Kyrgyzstan,5940,3070,74.8,66.9,19.9,15.5,1.854,2,96,96,Yes,99.3,NA,Asia,1.87,1.3,124.78
Lao People's Democratic Republic,6802,4570,66.8,63.7,17.5,15.9,NA,5,87,88,No,136.5,NA,Asia,0.91,1.3,101.85
Latvia,1970.5,22970,79,69.4,22.5,16.7,3.223,0,95,92,Yes,157.2,4.01,Europe,3.74,NA,103.38
Lebanon,5850.7,17390,76.4,73.4,20.1,17.8,2.38,0,79,81,Yes,97,1.79,Asia,3.19,NA,93.2
Lesotho,2135,3320,53.8,50.3,16.4,14.4,NA,2,90,93,No,73.1,NA,Africa,NA,NA,59.17
Liberia,4503.4,790,59.8,56.5,15.9,14.6,NA,4,58,50,No,91,0.54,Africa,1.16,NA,56.39
Libya,6278.4,NA,75.4,69.8,19.9,16.9,2.092,1,93,94,Yes,88.7,NA,Africa,4.36,NA,148.19
Liechtenstein,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,NA,NA,103.87
Lithuania,2878.4,24500,79,67.9,22.5,15.5,4.33,0,93,93,Yes,143,3.49,Europe,4.76,NA,151.78
Luxembourg,567.1,NA,83.8,79.5,25.8,22.3,2.855,0,99,99,Yes,124.3,6.35,Europe,NA,NA,145.47
Madagascar,24235.4,1350,66.7,63.6,17.6,16.3,NA,16,64,73,No,127,NA,Africa,0.93,1.2,39.05
Malawi,17215.2,750,59.2,56.1,16.1,14.5,NA,14,85,91,No,103.5,NA,Africa,0.87,NA,27.83
Malaysia,30331,22460,77.1,72.5,20.3,18.5,NA,2,94,97,Yes,98.6,3.69,Asia,3.68,NA,140.94
Maldives,363.7,9890,79.8,76.6,22.2,20.2,NA,0,99,99,Yes,70.5,NA,Asia,NA,NA,172.84
Mali,17599.7,1540,57.8,57.7,15.9,15.8,NA,28,80,77,Yes,97.1,1.12,Africa,0.86,NA,89.55
Malta,418.7,28030,83.5,79.4,25.3,22.4,3.749,0,98,99,Yes,120.4,NA,Europe,NA,NA,128.68
Marshall Islands,53,4620,NA,NA,NA,NA,NA,0,79,78,Yes,NA,NA,Oceania,NA,NA,NA
Mauritania,4067.6,2850,64.4,61.5,17.1,15.8,NA,5,84,84,No,66.1,NA,Africa,1.22,NA,111.06
Mauritius,1273.2,17220,77.4,71,21.9,18.3,NA,0,98,97,Yes,82.3,NA,Africa,NA,NA,113.09
Mexico,127017,16110,79.4,73.8,23.5,21,NA,18,97,87,Yes,72.4,3.5,North America,2.69,3.3,86.77
Micronesia (Federated States of),104.5,3840,70.6,68.2,18,16.5,NA,0,91,77,No,NA,NA,Oceania,NA,NA,NA
Monaco,37.7,NA,NA,NA,NA,NA,6.645,0,99,99,No,NA,NA,Europe,NA,NA,93.65
Mongolia,2959.1,8810,72.8,64.3,18.5,15,NA,1,98,99,Yes,193.5,1.47,Asia,4.3,NA,117.62
Montenegro,625.8,14600,77.9,74,20.9,18.4,2.188,0,76,91,Yes,150.7,NA,Europe,NA,NA,177.94
Morocco,34377.5,7000,75.1,73.1,19.9,18.7,0.618,13,99,99,Yes,96.3,2.87,Africa,1.56,1.3,119.69
Mozambique,27977.9,1040,58.3,54.9,17.1,15.9,NA,29,85,79,Yes,97.1,NA,Africa,0.76,NA,33.13
Myanmar,53897.2,NA,68.3,64.4,17.6,15.7,NA,25,86,75,Yes,122,NA,Asia,1.07,NA,11.16
Namibia,2458.8,9590,68.5,63.1,18.5,16,NA,1,83,88,Yes,61.9,NA,Africa,0.66,NA,103
Nauru,10.2,NA,NA,NA,NA,NA,NA,0,98,95,Yes,NA,NA,Oceania,NA,NA,NA
Nepal,28513.7,2260,71,68.2,18.3,16.6,NA,13,88,92,Yes,76,0.79,Asia,1.01,NA,52.82
Netherlands,16924.9,43210,83.5,79.8,25.6,22.4,3.352,0,96,96,Yes,146.7,8.25,Europe,5.75,NA,117.52
New Zealand,4528.5,NA,83.1,79.8,25.7,23.4,2.852,0,93,93,Yes,112.8,14.98,Oceania,9.54,4.3,110.33
Nicaragua,6082,4440,77.7,71.3,23.1,20.2,0.914,1,99,98,Yes,93.2,NA,North America,1.26,1.6,89.77
Niger,19899.1,910,62.4,60.5,16.7,15.6,NA,25,72,68,Yes,55.9,NA,Africa,0.97,NA,32.42
Nigeria,182202,5360,54.7,52.6,14.4,13.9,NA,241,51,49,No,106.7,NA,Africa,1.31,NA,67.68
Niue,1.6,NA,NA,NA,NA,NA,NA,0,99,99,No,NA,NA,Oceania,NA,NA,NA
Norway,5211,66520,83.6,79.6,25.5,22.5,4.42,0,94,93,Yes,121.6,16.14,Europe,6.13,4.8,115.55
Oman,4490.5,NA,79,74.7,22.3,19.6,1.541,0,99,99,No,64.7,2.36,Asia,3.39,NA,181.73
Pakistan,188925,4920,67.2,65.2,18,17.6,0.806,251,61,72,Yes,88.3,0.48,Asia,1.09,0.8,66.77
Palau,21.3,14540,NA,NA,NA,NA,NA,0,83,95,Yes,NA,NA,Oceania,NA,NA,82.62
Panama,3929.1,19290,80.9,74.6,25.6,22.4,NA,1,90,80,Yes,92.5,4.27,North America,2.35,3,186.73
Papua New Guinea,7619.3,2430,65.2,60.3,16.6,13.3,NA,5,65,62,Yes,143.1,NA,Oceania,1.4,NA,37.78
Paraguay,6639.1,7640,75.9,72,22.3,20,NA,2,89,87,No,107,NA,South America,2.84,NA,101.66
Peru,31376.7,11360,77.8,72.8,22.8,20.1,NA,5,89,88,Yes,110.1,2.15,South America,1.33,2,98.84
Philippines,100699,7820,71.8,65.2,18.6,15.6,NA,30,88,79,Yes,96.9,1.11,Asia,1.42,1,106.77
Poland,38611.8,22300,81.2,73.4,23.9,19,2.271,1,97,98,Yes,149.7,4.14,Europe,5.4,NA,132.68
Portugal,10349.8,25360,83.7,77.9,25.8,21.8,4.426,0,98,98,Yes,130,5.33,Europe,4.99,NA,115.07
Qatar,2235.4,123860,79.9,77.3,22.1,20.7,1.964,0,99,89,Yes,87.7,NA,Asia,NA,NA,134.11
Republic of Korea,50293.4,33440,85.2,78.5,27.1,22,2.231,1,99,99,Yes,115.7,2.51,Asia,5.6,NA,110.36
Republic of Moldova,4068.9,5190,75.9,67.6,19.8,15.3,2.537,1,90,90,No,128.5,1.16,Europe,2.47,2.1,115.94
Romania,19511.3,18060,78.6,71.2,22,17.8,NA,1,89,94,Yes,144.2,4.18,Europe,3.49,NA,106.14
Russian Federation,143457,23200,76.1,64.5,21.1,15,3.306,10,98,97,Yes,146.7,1.69,Asia,5.36,NA,183.52
Rwanda,11609.7,1430,70.8,60.5,19.6,16,NA,7,97,98,No,124.3,0.9,Africa,0.9,NA,50.49
Saint Kitts and Nevis,55.6,20400,NA,NA,NA,NA,NA,0,93,97,No,NA,NA,North America,NA,NA,156.43
Saint Lucia,185,10350,77.7,72.4,23,19.3,NA,0,99,99,No,NA,NA,North America,NA,NA,127.68
Saint Vincent and the Grenadines,109.5,10610,75.1,71.2,21,19,NA,0,99,98,No,NA,NA,North America,NA,NA,123.88
Samoa,193.2,4840,77.3,70.7,21.7,16.6,NA,0,82,63,Yes,NA,NA,Oceania,NA,NA,NA
San Marino,31.8,NA,NA,NA,NA,NA,6.362,0,57,80,Yes,NA,NA,Europe,NA,NA,112.69
Sao Tome and Principe,190.3,2950,69.2,65.5,18.9,17.5,NA,0,92,95,No,NA,NA,Africa,NA,NA,70.98
Saudi Arabia,31540.4,53780,75.9,73.1,19.8,17.6,2.568,5,98,98,No,63.1,NA,Asia,6.15,NA,184.68
Senegal,15129.3,2240,68.3,64.3,17.6,15.8,NA,12,80,89,Yes,73.6,1.06,Africa,1.06,NA,87.51
Serbia,8851,12020,78.2,72.7,21.3,17.7,2.463,0,86,93,Yes,170.8,2.35,Europe,NA,NA,92.8
Seychelles,96.5,23270,77.8,69,22.1,16.9,NA,0,99,99,Yes,NA,NA,Africa,NA,NA,158.63
Sierra Leone,6453.2,1750,48.8,47.4,12.7,12.5,NA,8,78,83,No,86.2,0.82,Africa,0.73,NA,36.07
Singapore,5603.7,76850,85.9,79.8,27.8,22.7,NA,0,95,96,Yes,103.9,9.36,Asia,NA,NA,153.4
Slovakia,5426.3,25500,80.1,72.7,22.8,17.9,NA,0,97,97,Yes,139.6,3.56,Europe,3.94,NA,111.21
Slovenia,2067.5,28130,83.6,77.7,25.5,21.3,2.765,0,94,95,Yes,150.7,4.76,Europe,5.4,NA,110.08
Solomon Islands,583.6,1810,70.4,67.4,17.8,16.1,NA,0,93,88,Yes,103.4,NA,Oceania,NA,NA,53.34
Somalia,10787.1,NA,56,52.7,16.8,15.8,0.029,18,46,42,No,117.6,NA,Africa,0.97,NA,6.72
South Africa,54490.4,12240,65.5,58.4,18.5,13.5,0.756,12,70,70,Yes,108.7,3.03,Africa,4.04,NA,134.8
South Sudan,12339.8,2190,58,55.3,17,15.9,NA,17,22,39,No,113.1,NA,Africa,NA,NA,18.82
Spain,46121.7,31850,85.3,79.8,27.2,22.8,3.819,1,96,97,Yes,119.8,6.21,Europe,5.5,NA,108.32
Sri Lanka,20715,9470,78.1,71.3,21.6,19.3,NA,2,99,99,Yes,64.6,4.2,Asia,0.95,1.2,95.76
Sudan,40234.9,2370,65.6,62.1,18.4,17.2,3.058,39,86,94,Yes,85,NA,Africa,1.14,NA,60.49
Suriname,543,15860,74.5,68.4,20.9,17.6,NA,0,85,85,Yes,82.9,NA,South America,NA,NA,182.9
Swaziland,1287,6220,60.7,55.9,16.9,14.7,NA,1,86,98,Yes,84.9,NA,Africa,NA,NA,65.96
Sweden,9779.4,44760,84.1,80.6,25.9,23.2,NA,0,98,98,No,110.3,8.55,Europe,7.53,NA,122.62
Switzerland,8298.7,56580,85.1,81.1,26.9,23.7,4.114,0,93,96,Yes,103.8,9.02,Europe,6.63,5,135.25
Syrian Arab Republic,18502.4,NA,69.7,59.9,19.5,16.9,1.546,3,54,43,Yes,111.8,NA,Asia,2.56,1.5,61.22
Tajikistan,8481.9,2500,73.4,66.4,20.9,16.3,1.714,6,98,97,Yes,90.5,NA,Asia,0.9,0.9,92.22
Thailand,67959.4,13510,77.8,71.7,22.8,19.1,NA,5,99,99,Yes,102.8,1.89,Asia,2.7,2.4,120.29
The former Yugoslav republic of Macedonia,2078.5,11520,77.7,73.4,20.3,17.5,NA,0,93,95,Yes,146.4,1.4,Europe,NA,NA,NA
Timor-Leste,1184.8,6410,69.8,66.3,17.8,16.1,NA,1,74,77,No,150.7,NA,Asia,NA,NA,52.31
Togo,7304.6,1180,60.9,58.4,15.9,15.1,NA,7,82,87,Yes,99.8,NA,Africa,0.82,NA,55.99
Tonga,106.2,5450,76.2,70.5,21.1,16.3,NA,0,67,82,Yes,NA,NA,Oceania,NA,NA,53.39
Trinidad and Tobago,1360.1,26210,74.6,67.8,20.3,16.2,NA,0,96,92,Yes,136.6,NA,North America,2.43,NA,139.43
Tunisia,11253.6,10960,77.6,72.7,21.3,17.8,1.648,2,98,98,Yes,73,1.39,Africa,2.27,1.8,119.96
Turkey,78665.8,18760,78.6,72.3,22.9,18.9,1.749,11,94,96,Yes,134.2,3.83,Asia,2.73,2.6,90.84
Turkmenistan,5373.5,12920,70.3,62,18.5,14.5,2.291,3,99,98,Yes,113.4,NA,Asia,3.62,NA,76.47
Tuvalu,9.9,5990,NA,NA,NA,NA,NA,0,94,89,Yes,NA,NA,Oceania,NA,NA,28.38
Uganda,39032.4,1370,63.7,59.3,17.9,16.5,NA,30,82,78,No,133.6,0.89,Africa,0.88,NA,45.92
Ukraine,44823.8,8960,75.8,65.7,20.4,15.3,3,3,56,23,Yes,118.8,0.79,Europe,4.76,NA,132.05
United Arab Emirates,9157,NA,78.5,76.2,20.8,19.6,1.558,0,94,94,Yes,99.2,2.61,Asia,15.99,NA,169.94
United Kingdom of Great Britain and Northern Ireland,64715.8,35760,82.9,79.2,25.2,22.6,2.806,2,93,95,Yes,130.4,12.92,Europe,6.29,4.7,130.75
United Republic of Tanzania,53470.4,1750,62.8,58.7,17,15.5,NA,39,99,97,Yes,94.9,NA,Africa,NA,NA,NA
United States of America,321774,53960,81.5,76.8,24.9,22,NA,14,92,95,Yes,121.2,6.07,North America,12.22,NA,98.17
Uruguay,3431.6,18930,80.3,73.2,24.4,19,NA,0,96,95,Yes,154.3,3.43,South America,4.91,NA,147.3
Uzbekistan,29893.5,5340,72.6,65.9,19.9,16.6,2.451,14,99,99,No,76.7,1.14,Asia,2.65,NA,72.21
Vanuatu,264.7,2840,73.7,69.8,19.4,17,NA,0,53,64,Yes,NA,NA,Oceania,NA,NA,54.44
Vatican City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,NA,NA,NA
Venezuela (Bolivarian Republic of),31108.1,17890,78.3,69.8,23.3,19.3,NA,6,89,78,Yes,92.5,NA,South America,2.88,3,102.1
Viet Nam,93447.6,5030,80.5,71.1,24.8,19.4,NA,18,97,95,Yes,112.1,1.02,Asia,0.95,1.4,149.41
Yemen,26832.2,3820,66.9,63.9,17.2,15.5,0.311,19,67,73,Yes,72.4,1.32,Asia,NA,NA,54.36
Zambia,16211.8,3070,64,58.5,18.3,16.8,NA,13,85,86,No,105,1.48,Africa,1.21,NA,75.81
Zimbabwe,15602.8,1560,60.9,57.5,18.3,16.9,NA,13,92,91,No,223,1.33,Africa,1.45,NA,96.93
